Calif Global;Puntaje Lectura Critica;Puntaje Matemática;Promedio Ciclo lectivo 1;Total Créditos Cursados 1;Total Créditos Aprobados 1;Promedio Ponderado Acumulado 1;Promedio Ciclo lectivo 2;Total Créditos Cursados 2;Total Créditos Aprobados 2;Promedio Ponderado Acumulado 2;tasa_aprobacion;Sexo = M;Sexo = F;Benef. Beca = N;Benef. Beca = Y;Estado Programa Académico 2;ID
322.0;57.0;66.0;.0;.0;.0;.0;3.3;16.0;14.0;3.3;.9;1.0;.0;1.0;.0;1;00020153750
335.0;57.0;77.0;.0;.0;.0;.0;3.5;15.0;15.0;3.5;1.0;1.0;.0;1.0;.0;1;00020154459
332.0;61.0;65.0;.0;.0;.0;.0;3.3;16.0;11.0;3.3;.7;1.0;.0;1.0;.0;1;00020154676
358.0;62.0;72.0;.0;.0;.0;.0;4.6;17.0;17.0;4.6;1.0;.0;1.0;1.0;.0;1;00020154945
318.0;60.0;61.0;.0;.0;.0;.0;3.7;18.0;18.0;3.7;1.0;.0;1.0;1.0;.0;1;00020246498
308.0;61.0;64.0;.0;.0;.0;.0;4.1;16.0;16.0;4.1;1.0;.0;1.0;1.0;.0;1;00020246543
401.0;72.0;86.0;.0;.0;.0;.0;3.8;17.0;17.0;3.8;1.0;.0;1.0;1.0;.0;1;00020247067
317.0;55.0;65.0;.0;.0;.0;.0;3.8;16.0;16.0;3.8;1.0;1.0;.0;1.0;.0;1;00020247106
337.0;65.0;67.0;.0;.0;.0;.0;3.6;16.0;16.0;3.6;1.0;1.0;.0;1.0;.0;1;00020247178
326.0;69.0;69.0;.0;.0;.0;.0;3.2;20.0;11.0;3.2;.6;.0;1.0;1.0;.0;0;00020248035
350.0;67.0;71.0;.0;.0;.0;.0;3.9;18.0;18.0;3.9;1.0;1.0;.0;1.0;.0;1;00020248128
348.0;64.0;65.0;.0;.0;.0;.0;3.5;18.0;16.0;3.5;.9;1.0;.0;1.0;.0;1;00020248528
316.0;58.0;64.0;.0;.0;.0;.0;3.6;18.0;18.0;3.6;1.0;1.0;.0;1.0;.0;0;00020248529
370.0;61.0;79.0;.0;.0;.0;.0;3.9;18.0;18.0;3.9;1.0;1.0;.0;1.0;.0;0;00020248721
306.0;62.0;65.0;.0;.0;.0;.0;3.0;16.0;11.0;3.0;.7;.0;1.0;1.0;.0;1;00020248800
345.0;59.0;77.0;.0;.0;.0;.0;3.3;17.0;12.0;3.3;.7;1.0;.0;1.0;.0;1;00020249208
358.0;59.0;77.0;.0;.0;.0;.0;4.1;18.0;18.0;4.1;1.0;1.0;.0;1.0;.0;1;00020249976
