Puntaje Lectura Critica;Puntaje Matemática;Promedio Ciclo lectivo 1;Total Créditos Cursados 1;Total Créditos Aprobados 1;Promedio Ponderado Acumulado 1;Promedio Ciclo lectivo 2;Total Créditos Cursados 2;Total Créditos Aprobados 2;Promedio Ponderado Acumulado 2;tasa_aprobacion;Sexo = M;Sexo = F;Estado Programa Académico 2;ID
58.0;70.0;2.9;18.0;6.0;2.9;3.3;33.0;18.0;3.0;.5;1.0;.0;1;00020145747
64.0;88.0;.0;.0;.0;.0;3.5;16.0;10.0;3.5;.6;1.0;.0;1;00020133982
57.0;69.0;.0;.0;.0;.0;3.8;16.0;13.0;3.8;.8;1.0;.0;1;00020135383
57.0;64.0;.0;.0;.0;.0;3.7;16.0;16.0;3.7;1.0;1.0;.0;1;00020136710
55.0;67.0;.0;.0;.0;.0;4.2;20.0;20.0;4.2;1.0;1.0;.0;1;00020141805
49.0;50.0;.0;.0;.0;.0;3.0;15.0;8.0;3.0;.5;.0;1.0;0;00020142511
63.0;67.0;.0;.0;.0;.0;3.9;16.0;16.0;3.9;1.0;1.0;.0;1;00020143400
69.0;83.0;.0;.0;.0;.0;4.2;17.0;17.0;4.2;1.0;1.0;.0;1;00020147195
64.0;81.0;.0;.0;.0;.0;3.7;18.0;15.0;3.7;.8;1.0;.0;1;00020151142
74.0;100.0;.0;.0;.0;.0;4.9;18.0;18.0;4.9;1.0;1.0;.0;1;00020151437
64.0;74.0;.0;.0;.0;.0;3.9;16.0;16.0;3.9;1.0;1.0;.0;0;00020151581
70.0;81.0;.0;.0;.0;.0;2.9;16.0;9.0;2.9;.6;1.0;.0;0;00020152271
72.0;81.0;.0;.0;.0;.0;3.9;18.0;18.0;3.9;1.0;1.0;.0;1;00020152622
74.0;86.0;.0;.0;.0;.0;4.7;18.0;18.0;4.7;1.0;1.0;.0;1;00020153345
81.0;96.0;.0;.0;.0;.0;4.7;19.0;19.0;4.7;1.0;1.0;.0;1;00020153551
69.0;77.0;.0;.0;.0;.0;4.2;18.0;18.0;4.2;1.0;1.0;.0;1;00020246939
55.0;74.0;.0;.0;.0;.0;2.9;15.0;9.0;2.9;.6;1.0;.0;0;00020248147
66.0;96.0;.0;.0;.0;.0;4.2;18.0;18.0;4.2;1.0;1.0;.0;1;00020248550
64.0;77.0;.0;.0;.0;.0;4.0;17.0;17.0;4.0;1.0;1.0;.0;1;00020250277
