Calif Global;Puntaje Lectura Critica;Puntaje Matemática;Promedio Ciclo lectivo 1;Total Créditos Cursados 1;Total Créditos Aprobados 1;Promedio Ponderado Acumulado 1;Promedio Ciclo lectivo 2;Total Créditos Cursados 2;Total Créditos Aprobados 2;Promedio Ponderado Acumulado 2;tasa_aprobacion;Sexo = M;Sexo = F;Benef. Beca = N;Benef. Beca = Y;Estado Programa Académico 2;ID
378.0;69.0;77.0;.0;.0;.0;.0;3.0;18.0;9.0;3.0;.5;1.0;.0;1.0;.0;0;00020154264
376.0;92.0;66.0;.0;.0;.0;.0;3.7;17.0;17.0;3.7;1.0;1.0;.0;1.0;.0;1;00020155816
361.0;72.0;72.0;.0;.0;.0;.0;3.7;20.0;20.0;3.7;1.0;1.0;.0;1.0;.0;1;00020186900
335.0;60.0;70.0;.0;.0;.0;.0;3.8;19.0;19.0;3.8;1.0;.0;1.0;1.0;.0;1;00020246614
360.0;69.0;81.0;.0;.0;.0;.0;3.1;18.0;12.0;3.1;.7;.0;1.0;1.0;.0;1;00020246789
333.0;60.0;70.0;.0;.0;.0;.0;3.7;19.0;19.0;3.7;1.0;1.0;.0;1.0;.0;1;00020246797
332.0;79.0;61.0;.0;.0;.0;.0;3.0;16.0;10.0;3.0;.6;1.0;.0;1.0;.0;1;00020246906
362.0;72.0;70.0;.0;.0;.0;.0;3.6;19.0;19.0;3.6;1.0;1.0;.0;1.0;.0;1;00020248205
341.0;59.0;81.0;.0;.0;.0;.0;4.4;18.0;18.0;4.4;1.0;.0;1.0;1.0;.0;1;00020248436
345.0;79.0;61.0;.0;.0;.0;.0;2.9;19.0;9.0;2.9;.5;1.0;.0;1.0;.0;0;00020248678
308.0;58.0;56.0;.0;.0;.0;.0;2.9;19.0;9.0;2.9;.5;1.0;.0;1.0;.0;0;00020248710
326.0;65.0;59.0;.0;.0;.0;.0;3.2;17.0;14.0;3.2;.8;.0;1.0;1.0;.0;1;00020248727
319.0;56.0;63.0;.0;.0;.0;.0;2.9;17.0;10.0;2.9;.6;1.0;.0;1.0;.0;0;00020248734
326.0;65.0;58.0;.0;.0;.0;.0;3.8;19.0;19.0;3.8;1.0;1.0;.0;.0;1.0;1;00020249358
358.0;65.0;79.0;.0;.0;.0;.0;3.2;20.0;13.0;3.2;.7;1.0;.0;1.0;.0;0;00020249373
