Calif Global;Puntaje Lectura Critica;Puntaje Matemática;Promedio Ciclo lectivo 1;Total Créditos Cursados 1;Total Créditos Aprobados 1;Promedio Ponderado Acumulado 1;Promedio Ciclo lectivo 2;Total Créditos Cursados 2;Total Créditos Aprobados 2;Promedio Ponderado Acumulado 2;tasa_aprobacion;Sexo = M;Sexo = F;Benef. Beca = N;Benef. Beca = Y;Estado Programa Académico 2;ID
343.0;58.0;69.0;3.8;20.0;20.0;3.8;3.7;37.0;37.0;3.8;1.0;1.0;.0;1.0;.0;1;00020141281
320.0;58.0;69.0;3.9;17.0;17.0;3.9;4.1;34.0;34.0;4.0;1.0;1.0;.0;1.0;.0;1;00020141308
337.0;65.0;77.0;3.4;17.0;17.0;3.4;3.0;34.0;28.0;3.2;.8;1.0;.0;1.0;.0;0;00020141606
333.0;63.0;69.0;3.6;17.0;14.0;3.6;3.3;36.0;30.0;3.4;.8;1.0;.0;1.0;.0;1;00020141725
330.0;63.0;67.0;2.4;17.0;6.0;2.4;2.5;37.0;17.0;2.5;.5;.0;1.0;1.0;.0;0;00020141762
365.0;75.0;81.0;3.9;17.0;17.0;3.9;3.7;37.0;37.0;3.8;1.0;.0;1.0;1.0;.0;1;00020141845
332.0;58.0;74.0;3.1;14.0;11.0;3.1;2.0;28.0;14.0;2.6;.5;1.0;.0;1.0;.0;0;00020141929
347.0;75.0;74.0;3.8;20.0;20.0;3.8;3.9;39.0;39.0;3.9;1.0;.0;1.0;1.0;.0;1;00020142026
365.0;60.0;83.0;4.2;20.0;20.0;4.2;3.8;39.0;39.0;4.0;1.0;1.0;.0;1.0;.0;1;00020142069
327.0;67.0;75.0;1.9;17.0;4.0;1.9;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020142117
327.0;58.0;70.0;4.0;17.0;17.0;4.0;3.6;34.0;34.0;3.8;1.0;1.0;.0;1.0;.0;1;00020142174
323.0;60.0;69.0;3.2;17.0;11.0;3.2;3.5;37.0;31.0;3.3;.8;.0;1.0;1.0;.0;0;00020142331
335.0;65.0;64.0;3.9;16.0;13.0;3.9;4.0;36.0;33.0;3.9;.9;.0;1.0;1.0;.0;1;00020142448
367.0;63.0;85.0;3.6;20.0;17.0;3.6;3.5;43.0;34.0;3.5;.8;1.0;.0;1.0;.0;1;00020142656
351.0;67.0;83.0;3.6;20.0;20.0;3.6;3.0;37.0;28.0;3.3;.8;1.0;.0;1.0;.0;1;00020142862
349.0;65.0;70.0;4.3;17.0;17.0;4.3;4.0;37.0;37.0;4.2;1.0;1.0;.0;1.0;.0;1;00020143062
324.0;65.0;59.0;3.9;19.0;19.0;3.9;3.5;35.0;29.0;3.7;.8;1.0;.0;1.0;.0;1;00020143220
317.0;60.0;69.0;3.4;17.0;14.0;3.4;3.4;36.0;30.0;3.4;.8;.0;1.0;1.0;.0;0;00020143432
347.0;63.0;72.0;3.3;17.0;11.0;3.3;4.3;36.0;30.0;3.8;.8;1.0;.0;1.0;.0;1;00020143591
333.0;67.0;72.0;3.5;17.0;11.0;3.5;3.8;36.0;30.0;3.6;.8;.0;1.0;1.0;.0;1;00020143594
